sta_nr,monitoring_location_name,Long,Lat
3.3,NA,-85.65830000000196,30.140000000003003
3.68,NA,-85.63480000000196,30.136300000002972
4.1,NA,-85.48670000000196,30.038300000002963
4.2,NA,-85.52670000000197,30.08500000000299
4.3,NA,-85.55830000000196,30.108300000002984
4.4,NA,-85.61000000000197,30.098300000002975
4.5,NA,-85.63000000000196,30.125000000002956
4.66,NA,-85.60080000000197,30.125500000002965
1.1,NA,-85.61670000000196,30.263300000002953
1.2,NA,-85.65170000000197,30.261700000002943
1.3,NA,-85.68500000000198,30.25330000000298
1.7,NA,-85.65620000000196,30.269200000002957
1.76,NA,-85.69920000000198,30.211000000002926
1.4,NA,-85.71000000000197,30.226700000002953
1.72,NA,-85.71670000000198,30.192800000002958
2.5,NA,-85.73330000000198,30.201700000002965
3.1,NA,-85.73670000000197,30.17500000000298
3.2,NA,-85.68500000000198,30.15670000000293
3.6,NA,-85.65500000000198,30.093300000002984
3.7,NA,-85.73000000000198,30.12000000000296
9.4,NA,-85.74530000000198,30.14770000000296
9.5,NA,-85.72830000000198,30.13500000000297
9.1,NA,-85.78720000000196,30.169300000002956
2.1,NA,-85.83330000000197,30.245000000002946
2.2,NA,-85.80830000000198,30.26830000000299
2.3,NA,-85.76670000000198,30.290000000002962
2.4,NA,-85.74170000000197,30.24000000000298
2.73,NA,-85.76000000000198,30.301300000002957
2.86,NA,-85.73700000000196,30.277300000002956
2.88,NA,-85.80510000000197,30.290400000002986
