monitoring_location_name,Long,Lat
Bay-St. Andrew Bay-3,-85.65830000000196,30.140000000003003
Bay-East Bay-1,-85.48670000000196,30.038300000002963
Bay-East Bay-2,-85.52670000000197,30.08500000000299
Bay-East Bay-3,-85.55830000000196,30.108300000002984
Bay-East Bay-4,-85.61000000000197,30.098300000002975
Bay-East Bay-5,-85.63020000000196,30.12500000000298
Bay-Watson-Bayou-1,-85.63480000000196,30.136300000002972
Bay-Parker-Bayou-1,-85.60080000000197,30.125500000002965
Bay-North Bay-1,-85.61670000000196,30.263300000002953
Bay-North Bay-2,-85.65170000000197,30.261700000002943
Bay-North Bay-3,-85.68500000000198,30.25330000000298
Bay-Fannin-Bayou-1,-85.65620000000196,30.269200000002957
Bay-Goose-Bayou-1,-85.69110000000198,30.22480000000298
Bay-Robinson-Bayou-1,-85.69920000000198,30.211000000002926
Bay-Upper-Goose-Bayou-1,-85.68350000000197,30.241300000002962
Bay-Grand Lagoon-1,-85.78500000000197,30.168300000002965
Bay-Grand Lagoon-4,-85.72840000000197,30.14500000000295
Bay-Grand Lagoon-5,-85.74150000000196,30.140400000002977
Bay-North Bay-4,-85.71000000000197,30.226700000002953
Bay-St. Andrew Bay-1,-85.73670000000197,30.17500000000298
Bay-St. Andrew Bay-2,-85.68500000000198,30.15670000000293
Bay-St. Andrew Bay-6,-85.65500000000198,30.093300000002984
Bay-St. Andrew Bay-7,-85.73000000000198,30.12000000000296
Bay-West Bay-5,-85.73330000000198,30.201700000002965
Bay-St. Andrew Bay-12,-85.69340000000197,30.12190000000296
Bay-Posten-Bayou-1,-85.71670000000198,30.192800000002958
Bay-Burnt Mill Lower-1,-85.76170000000197,30.296000000002927
Bay-West Bay-1,-85.83330000000197,30.245000000002946
Bay-West Bay-2,-85.80830000000198,30.26830000000299
Bay-West Bay-4,-85.74170000000197,30.24000000000298
Bay-West Bay-10,-85.84360000000197,30.243200000002968
Bay-West Bay-11,-85.84660000000197,30.240800000002963
Bay-West Bay-6,-85.84690000000198,30.262800000002922
Bay-West Bay-7,-85.84700000000197,30.258100000002965
Bay-West Bay-8,-85.84680000000198,30.253400000002944
Bay-West Bay-9,-85.84550000000198,30.24870000000296
Bay-Warren-Bayou-1,-85.73700000000196,30.277300000002956
